orden,titulo,archivo,fuente,hoja,variables_utilizadas,objetivo,interpretacion,criterio_lectura,ecuacion_o_fundamento,uso_tesis,limitaciones,etapa,estado
1,Esquema de validación Rolling-Origin,01_esquema_validacion_rolling_origin.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,resultados_por_origen,"fecha_inicio_prueba, fecha_fin_prueba",Representar la expansión secuencial del entrenamiento y la evaluación sobre bloques futuros de 30 días.,Cada fila corresponde a un origen distinto. La región de entrenamiento utiliza únicamente el pasado y la región de prueba contiene observaciones posteriores.,Las ventanas se desplazan cronológicamente; nunca se mezclan aleatoriamente observaciones pasadas y futuras.,"Train_o=\{1,\ldots,t_o\},\qquad Test_o=\{t_o+1,\ldots,t_o+h\}",Sección de validación temporal estricta y diseño experimental.,La figura muestra solamente los primeros orígenes para conservar legibilidad; el archivo contiene todas las ventanas.,Evaluación Rolling-Origin,generada
2,Cobertura de orígenes por objetivo,02_cobertura_origenes_por_objetivo.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,resultados_por_origen,"dataset, target, fecha_inicio_prueba",Verificar que todos los objetivos y variantes se evaluaron con la misma cantidad de ventanas temporales.,Barras iguales indican un diseño balanceado y hacen comparable el promedio de errores entre variantes.,Una diferencia en el número de orígenes debe investigarse antes de comparar métricas promedio.,"O_{d,y}=\left|\{o:(d,y,o)\text{ fue evaluado}\}\right|",Auditoría del diseño experimental y reproducibilidad.,La igualdad en el número de ventanas no garantiza igualdad de dificultad entre objetivos.,Evaluación Rolling-Origin,generada
3,Ranking por RMSE promedio,03_ranking_rmse_por_objetivo.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,ranking_modelos,"dataset, target, modelo, rmse_promedio",Comparar el desempeño promedio de todos los modelos y representaciones para cada variable objetivo.,"Las barras más cortas corresponden a menor penalización cuadrática de errores y, por tanto, mejor desempeño bajo RMSE.",La comparación debe realizarse dentro de cada objetivo porque las escalas monetarias y operativas son diferentes.,RMSE=\sqrt{\frac{1}{n}\sum_{i=1}^{n}(y_i-\hat y_i)^2},Resultados comparativos de modelos y selección del candidato principal.,RMSE es sensible a errores extremos y no expresa por sí solo estabilidad temporal.,Evaluación Rolling-Origin,generada
4,Mejor modelo por dataset y objetivo,04_mejor_modelo_por_dataset_objetivo.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,ranking_modelos,"dataset, target, modelo, rmse_promedio",Resumir qué algoritmo obtiene el menor RMSE para cada combinación de representación y objetivo.,Cada celda muestra el nombre del ganador y su RMSE. La intensidad se normaliza por objetivo para evitar comparar escalas incompatibles.,"Debe observarse tanto la repetición del modelo ganador como la sensibilidad a la representación completa, reducida o PCA.","m^*_{d,y}=\arg\min_m RMSE_{d,y,m}",Síntesis ejecutiva de resultados predictivos.,Un ganador por promedio puede no ser el más estable en todas las ventanas.,Evaluación Rolling-Origin,generada
5,Mejora frente a la línea base empírica,05_mejora_frente_linea_base_empirica.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,ranking_modelos,rmse_promedio del modelo y del promedio empírico de 7 días,Cuantificar si los modelos avanzados aportan una mejora real respecto al método empírico de referencia.,Valores positivos indican reducción del error; valores negativos significan que la línea base empírica fue superior.,La magnitud relativa facilita comparar objetivos con escalas distintas.,Mejora(\%)=\frac{RMSE_{base}-RMSE_m}{RMSE_{base}}\times100,Contraste entre posprueba analítica y método de control.,La mejora porcentual puede ser inestable cuando el error base es muy pequeño.,Evaluación Rolling-Origin,generada
6,Relación MAE–RMSE,06_relacion_mae_rmse_modelos.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,ranking_modelos,"mae_promedio, rmse_promedio",Evaluar si el desempeño está condicionado por errores extremos además del error absoluto típico.,"Cuanto mayor sea la separación vertical respecto a la diagonal MAE=RMSE, mayor es el efecto de errores grandes.",Modelos cercanos al origen presentan menor error en ambas métricas.,"MAE=\frac{1}{n}\sum|e_i|,\qquad RMSE=\sqrt{\frac{1}{n}\sum e_i^2}",Discusión de métricas y costo de errores extremos.,"MAE y RMSE mantienen las unidades del objetivo, por lo que no deben compararse entre objetivos distintos.",Evaluación Rolling-Origin,generada
7,Concordancia entre métricas,07_concordancia_rankings_metricas.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,ranking_modelos,"rankings de MAE, RMSE y MAPE",Determinar si las métricas conducen a conclusiones semejantes sobre el orden de los modelos.,Valores altos indican que dos métricas ordenan de forma parecida; valores bajos revelan criterios de evaluación diferentes.,Una baja concordancia con MAPE puede asociarse con objetivos que contienen ceros o valores pequeños.,"\rho_s=Corr(rank(M_a),rank(M_b))",Justificación de una evaluación multicriterio.,"El promedio resume múltiples objetivos y datasets, por lo que puede ocultar desacuerdos particulares.",Evaluación Rolling-Origin,generada
8,Evolución temporal del RMSE,08_evolucion_temporal_rmse_ganadores.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,resultados_por_origen y ranking_modelos,"fecha_inicio_prueba, rmse del modelo ganador",Evaluar la estabilidad del modelo ganador a través de diferentes periodos futuros.,"Picos de RMSE identifican ventanas difíciles, cambios de régimen o eventos no capturados por el modelo.",Una línea baja y estable es preferible a un promedio bajo acompañado de episodios extremos.,"RMSE_o=\sqrt{\frac{1}{h}\sum_{i=1}^{h}(y_{o,i}-\hat y_{o,i})^2}",Análisis de robustez temporal y riesgo predictivo.,La figura sigue al ganador promedio; otro modelo podría superar al ganador en ventanas específicas.,Evaluación Rolling-Origin,generada
9,Distribución del RMSE por modelo,09_distribucion_rmse_por_modelo.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,resultados_por_origen,"modelo, rmse","Comparar mediana, dispersión y asimetría del error a lo largo de todos los orígenes.",La línea central es la mediana; la caja representa el 50 % central de errores. Cajas más compactas indican mayor estabilidad.,La comparación global mezcla objetivos de distintas escalas y debe complementarse con las figuras por objetivo.,IQR_{RMSE}=Q_{0.75}(RMSE)-Q_{0.25}(RMSE),Discusión de estabilidad y variabilidad del desempeño.,"Al mezclar escalas, los objetivos monetarios tienen mayor peso visual que los objetivos de conteo.",Evaluación Rolling-Origin,generada
10,Estabilidad mediante coeficiente de variación,10_estabilidad_modelos_cv_rmse.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,resultados_por_origen,media y desviación estándar del RMSE,Identificar el modelo con menor variabilidad relativa del error en cada problema.,Valores pequeños indican que el error cambia menos entre ventanas respecto a su nivel promedio.,"Debe analizarse junto con el RMSE medio, porque un modelo estable puede ser consistentemente impreciso.",CV_{RMSE}=\frac{s(RMSE_o)}{\overline{RMSE}_o},Evaluación de robustez y riesgo operativo.,El CV puede ser inestable cuando el RMSE medio se aproxima a cero.,Evaluación Rolling-Origin,generada
11,Ventanas ganadas por modelo,11_ventanas_ganadas_por_modelo.png,05_modelos_rolling_origin_completo/reducido/pca.xlsx,resultados_por_origen,modelo y RMSE mínimo por origen,Medir con qué frecuencia cada modelo fue el mejor en una ventana temporal concreta.,"Un alto número de victorias indica capacidad de adaptación a distintos periodos, aunque no considera la magnitud de las derrotas.",Debe contrastarse con el RMSE promedio y la estabilidad.,"W_m=\sum_o I\left(m=\arg\min_j RMSE_{j,o}\right)",Comparación dinámica de modelos.,Los empates numéricos se asignan al primer mínimo encontrado.,Evaluación Rolling-Origin,generada
