orden,etapa,titulo,archivo,fuente,hoja,variables_utilizadas,objetivo,interpretacion,criterio_lectura,ecuacion_o_fundamento,uso_tesis,limitaciones,estado
1,Redes recurrentes RNN/LSTM,Partición temporal de entrenamiento y prueba,01_particion_temporal_rnn_lstm.png,Datasets reducido/PCA y configuración de 08_rnn_lstm_dataset_reducido.py,Varias,"fecha, LOOKBACK_DAYS, TEST_DAYS",Documentar que la prueba corresponde a los últimos 90 días y no a una muestra aleatoria.,El bloque final se reserva íntegramente para evaluación; los 28 días previos aportan contexto para formar la primera secuencia de prueba.,La separación cronológica evita entrenar con observaciones posteriores al periodo pronosticado.,"Train=\{1,\ldots,N-90\},\quad Test=\{N-89,\ldots,N\}",Metodología de partición temporal para redes recurrentes.,"Es una sola partición final, no una validación Rolling-Origin; por ello su incertidumbre temporal está menos caracterizada.",generada
2,Redes recurrentes RNN/LSTM,Ventana supervisada de 28 días,02_ventana_supervisada_28_dias.png,08_rnn_lstm_dataset_reducido.py,make_sequences,"x[i-28:i], y[i]",Ilustrar cómo cada ejemplo de entrenamiento utiliza 28 días previos para estimar el valor del día siguiente.,La red recibe un tensor temporal y aprende dependencias entre posiciones consecutivas.,"Cada ventana termina en t-1; el objetivo corresponde a t, evitando incluir el valor futuro dentro de la entrada.","X_t=[x_{t-28},\ldots,x_{t-1}],\quad y_t=y(t)",Explicación de la preparación supervisada de datos para RNN y LSTM.,El horizonte efectivo es de un día; el código evalúa 90 predicciones de un paso construidas sobre el contexto final.,generada
3,Redes recurrentes RNN/LSTM,Arquitectura de las redes recurrentes,03_arquitectura_rnn_lstm.png,08_rnn_lstm_dataset_reducido.py,Sequential,"entrada, capa recurrente, Dense(16), Dense(1)",Representar la arquitectura común utilizada para comparar RNN simple y LSTM.,La única diferencia estructural entre modelos es el tipo de capa recurrente; las capas densas y la salida son equivalentes.,La comparación es más controlada porque mantiene constante el resto de la arquitectura.,"\hat y_t=W_2\,ReLU(W_1h_t+b_1)+b_2",Configuración del experimento de aprendizaje profundo.,No se realizó búsqueda exhaustiva de hiperparámetros; los resultados corresponden a una arquitectura base.,generada
4,Redes recurrentes RNN/LSTM,Dimensionalidad de entrada de las redes,04_dimensionalidad_entrada_recurrente.png,03_dataset_reducido... / 04_dataset_pca...,dataset_reducido / dataset_pca,número de predictores y 28×p,Comparar la carga informativa que recibe cada secuencia según la representación del dataset.,PCA reduce el número de canales de entrada frente al dataset reducido; cada ejemplo contiene 28 veces el número de predictores.,La escala logarítmica permite comparar predictores y valores totales de una secuencia.,Dim(X)=N_{seq}\times 28\times p,Justificación del control de dimensionalidad antes del aprendizaje profundo.,"Menos entradas reducen complejidad, pero PCA disminuye interpretabilidad de los canales.",generada
5,Redes recurrentes RNN/LSTM,Comparación de RMSE,05_comparacion_rmse_rnn_lstm.png,06_rnn_lstm_reducido.xlsx y 06_rnn_lstm_pca.xlsx,Sheet1,"dataset, target, modelo, rmse",Comparar la penalización de errores grandes entre arquitecturas y representaciones.,Una barra menor representa mejor ajuste predictivo para el objetivo correspondiente.,"La comparación debe hacerse dentro de cada objetivo, no entre unidades monetarias y conteos.",RMSE=\sqrt{\frac{1}{n}\sum_{i=1}^{n}(y_i-\hat y_i)^2},Resultados de desempeño predictivo de redes recurrentes.,Cada métrica proviene de una única partición final de 90 días.,generada
6,Redes recurrentes RNN/LSTM,Comparación de MAE,06_comparacion_mae_rnn_lstm.png,06_rnn_lstm_reducido.xlsx y 06_rnn_lstm_pca.xlsx,Sheet1,"dataset, target, modelo, mae",Comparar la magnitud promedio de los errores en las unidades originales.,MAE resume el error típico sin penalizar cuadráticamente los valores extremos.,Una menor barra significa menor desviación absoluta promedio.,MAE=\frac{1}{n}\sum_{i=1}^{n}|y_i-\hat y_i|,Evaluación de precisión media de las redes.,No muestra la dirección del sesgo ni la distribución temporal de los errores.,generada
7,Redes recurrentes RNN/LSTM,Diagnóstico del MAPE,07_diagnostico_mape_rnn_lstm.png,06_rnn_lstm_reducido.xlsx y 06_rnn_lstm_pca.xlsx,Sheet1,"dataset, target, modelo, mape",Mostrar la inestabilidad del error porcentual cuando existen valores reales pequeños o iguales a cero.,MAPE muy elevado no necesariamente implica el mismo deterioro observado en MAE o RMSE; puede estar dominado por denominadores pequeños.,Debe interpretarse junto con la tasa de ceros de cada objetivo.,MAPE=\frac{100}{n}\sum_i\left|\frac{y_i-\hat y_i}{y_i}\right|,Discusión crítica de métricas para series intermitentes.,"El código excluye denominadores cercanos a cero, pero los valores pequeños siguen amplificando el porcentaje.",generada
8,Redes recurrentes RNN/LSTM,Arquitectura ganadora por objetivo,08_arquitectura_ganadora_por_objetivo.png,06_rnn_lstm_*.xlsx,Sheet1,"dataset, target, modelo, rmse",Identificar si RNN simple o LSTM obtiene el menor RMSE en cada combinación.,La etiqueta muestra el modelo ganador y su error absoluto.,El ganador se determina de forma independiente para cada dataset y objetivo.,"m^*_{d,y}=\arg\min_m RMSE_{d,y,m}",Síntesis de comparación arquitectónica.,Una diferencia pequeña no demuestra superioridad estadística; no hay repeticiones con distintas semillas.,generada
9,Redes recurrentes RNN/LSTM,Mejora relativa de LSTM,09_mejora_lstm_vs_rnn.png,06_rnn_lstm_*.xlsx,Sheet1,rmse de rnn_simple y lstm,Cuantificar si la memoria controlada de LSTM produce una mejora práctica frente a una RNN simple.,Valores positivos favorecen LSTM; valores negativos favorecen RNN simple.,La magnitud porcentual permite comparar objetivos con escalas distintas.,Mejora_{LSTM}=\frac{RMSE_{RNN}-RMSE_{LSTM}}{RMSE_{RNN}}\times100,Discusión de la contribución de las compuertas LSTM.,No incorpora costo computacional ni incertidumbre por inicialización aleatoria.,generada
10,Redes recurrentes RNN/LSTM,Efecto del dataset reducido frente a PCA,10_efecto_dataset_reducido_vs_pca.png,06_rnn_lstm_reducido.xlsx y 06_rnn_lstm_pca.xlsx,Sheet1,"dataset, modelo, target, rmse",Evaluar si la compacidad PCA mejora o deteriora el desempeño respecto a variables seleccionadas interpretables.,Valores negativos indican que PCA reduce el RMSE; positivos indican que el dataset reducido fue mejor.,La comparación se realiza para la misma arquitectura y objetivo.,\Delta_{PCA}=\frac{RMSE_{PCA}-RMSE_{red}}{RMSE_{red}}\times100,Comparación de estrategias de reducción dimensional para deep learning.,"PCA puede mejorar estabilidad numérica, pero sacrifica interpretabilidad.",generada
