orden,etapa,titulo,archivo,fuente,hoja,variables_utilizadas,objetivo,interpretacion,criterio_lectura,limitaciones,estado
1,Perfil del dataset,Distribución de variables por dimensión,01_distribucion_variables_por_dimension.png,01_perfil_dataset_y_dimensiones.xlsx,resumen_dimensiones,"dimension, variables","Mostrar cómo se distribuye la dimensionalidad entre calendario, rezagos, ventanas móviles y otras familias.",La dimensión con más variables es 'rezagos historicos' con 126 columnas. Las barras largas identifican las familias que más incrementan la complejidad del dataset.,Una concentración alta en rezagos o ventanas móviles justifica aplicar diagnóstico de redundancia y reducción dimensional.,La gráfica cuenta columnas; no mide por sí sola la calidad predictiva de cada dimensión.,generada
2,Perfil del dataset,Concentración de ceros y nulos,02_calidad_variables_ceros_nulos.png,01_perfil_dataset_y_dimensiones.xlsx,perfil_variables,"variable, porcentaje_ceros, porcentaje_nulos","Detectar variables escasas, incompletas o dominadas por ceros que podrían aportar poca información estable.",La primera variable del ranking es 'compras_administracion_real_2026_05_lag1'. Una barra extensa significa que gran parte de sus registros no presenta actividad o información disponible.,Las variables con muchos ceros deben evaluarse junto con su relevancia predictiva; no deben eliminarse automáticamente.,Un cero puede ser un valor real de ausencia de operación y no necesariamente un problema de calidad.,generada
3,Diagnóstico de multicolinealidad,Pares con mayor correlación absoluta,03_pares_mayor_multicolinealidad.png,02_diagnostico_multicolinealidad.xlsx,pares_correlacion_alta,"variable_1, variable_2, correlacion_abs",Evidenciar qué predictores contienen información lineal muy similar y podrían ser redundantes.,"El par más relacionado es 'ventas_registros_roll7_mean' y 'ventas_registros_roll7_sum', con correlación absoluta de 1.0000.",Los pares por encima de 0.92 deben revisarse para conservar la variable más relacionada con el objetivo o la más interpretable.,La correlación solamente identifica relaciones lineales entre pares y no sustituye al análisis VIF o a la validación predictiva.,generada
4,Diagnóstico de multicolinealidad,Variables con mayor VIF,04_variables_mayor_vif.png,02_diagnostico_multicolinealidad.xlsx,vif_opcional,"variable, vif",Complementar el análisis de correlación mediante una medida de redundancia de cada variable respecto al conjunto de predictores.,La variable con mayor VIF es 'ventas_ganancia_real_2026_05_roll14_std' con 63.76. Valores altos indican que puede explicarse ampliamente mediante otras variables.,VIF superiores a 5 requieren revisión y valores superiores a 10 suelen considerarse evidencia fuerte de multicolinealidad.,Los umbrales son referencias prácticas y deben combinarse con interpretabilidad y desempeño fuera de muestra.,generada
5,Selección de características,Ranking de características seleccionadas,05_ranking_caracteristicas_seleccionadas.png,03_dataset_reducido_por_seleccion.xlsx,ranking_variables,"variable, score_compuesto, seleccionada, target","Mostrar las variables que concentran mayor evidencia combinada de correlación, información mutua, Random Forest y Lasso.","La variable con mayor puntuación media es 'compras_total_real_2026_05_roll28_mean' con score 0.5279, considerando su aparición en 4 objetivo(s).","Una puntuación alta significa consistencia entre los métodos de selección, pero no garantiza por sí sola causalidad ni estabilidad futura.",El score es relativo a los métodos y umbrales configurados; puede cambiar al modificar el periodo o los hiperparámetros.,generada
6,Reducción dimensional,Comparación de dimensionalidad,06_comparacion_reduccion_dimensional.png,01_perfil_dataset_y_dimensiones.xlsx; 03_dataset_reducido_por_seleccion.xlsx; 04_dataset_pca_componentes.xlsx,resumen_general; resumen; varianza_explicada,"predictores, variables_reducidas, número de componentes","Comparar de forma directa el tamaño del dataset completo, la selección de variables y la representación PCA.",La selección reduce aproximadamente 2.6% y PCA reduce 52.0% respecto a 271 predictores originales.,"Una mayor reducción mejora compacidad, pero puede disminuir interpretabilidad o perder información predictiva.",El número de componentes PCA no equivale a variables interpretables de negocio.,generada
7,PCA,Varianza acumulada de los componentes,07_varianza_acumulada_pca.png,04_dataset_pca_componentes.xlsx,varianza_explicada,"componente, varianza_explicada, varianza_acumulada",Justificar cuántos componentes son necesarios para conservar al menos 95 % de la información estadística.,El umbral de 95 % se alcanza en el componente 130; el dataset PCA termina con 130 componentes y conserva 95.08% de varianza.,El punto donde la curva cruza 95 % define la dimensionalidad necesaria bajo el criterio configurado.,"La varianza explicada mide conservación estadística, no garantiza el menor error de pronóstico.",generada
8,PCA,Cargas del primer componente principal,08_cargas_primer_componente_pca.png,04_dataset_pca_componentes.xlsx,cargas_componentes,"variable, pca_01",Facilitar una interpretación parcial del componente principal mediante las variables originales con mayor peso absoluto.,La mayor carga absoluta en pca_01 corresponde a 'compras_total_real_2026_05_roll14_mean' con valor 0.1300.,Las cargas positivas y negativas indican direcciones opuestas dentro del componente; la magnitud expresa contribución relativa.,"Un componente combina muchas variables, por lo que no debe nombrarse únicamente con base en una sola carga.",generada
9,Modelado Rolling-Origin,Mejor modelo por dataset y objetivo,09_mejores_modelos_rolling_origin.png,05_modelos_rolling_origin_completo.xlsx; 05_modelos_rolling_origin_pca.xlsx; 05_modelos_rolling_origin_reducido.xlsx,ranking_modelos,"dataset, target, modelo, rmse_promedio",Comparar los modelos con validación temporal repetida y mostrar el menor RMSE para cada combinación de dataset y objetivo.,"El menor RMSE mostrado corresponde a Promedio 7 días para Registros de compras en el dataset completo, con 0.8242.","En cada barra, menor longitud significa mejor desempeño promedio fuera de muestra dentro de su objetivo.",No deben compararse directamente magnitudes de RMSE entre objetivos expresados en unidades distintas.,generada
10,Modelado Rolling-Origin,Estabilidad temporal del error,10_estabilidad_rmse_rolling_origin_ventas.png,05_modelos_rolling_origin_completo.xlsx; 05_modelos_rolling_origin_reducido.xlsx; 05_modelos_rolling_origin_pca.xlsx,resultados_por_origen,"fecha_inicio_prueba, dataset, modelo, target, rmse",Mostrar si los modelos mantienen un error estable a través de diferentes periodos de validación y no solamente un buen promedio global.,Las líneas con valores bajos y poca variación representan modelos más precisos y estables en diferentes orígenes de pronóstico.,Picos aislados revelan periodos difíciles o sensibilidad del modelo a cambios operativos.,La gráfica se centra en el importe de ventas y en los cuatro mejores pares dataset-modelo por RMSE promedio.,generada
11,Redes neuronales recurrentes,Comparación RNN y LSTM,11_comparacion_rnn_lstm_rmse.png,06_rnn_lstm_pca.xlsx; 06_rnn_lstm_reducido.xlsx,primera hoja,"dataset, target, modelo, rmse",Comparar el error de RNN simple y LSTM usando las versiones reducida y PCA del dataset.,"El menor RMSE dentro de esta prueba corresponde a LSTM, dataset reducido, objetivo Registros de compras, con 0.0214.",Para cada objetivo deben compararse las barras de RNN y LSTM dentro de la misma escala y versión del dataset.,Estos resultados proceden de una prueba final de 90 días y no son directamente equivalentes a la validación Rolling-Origin.,generada
12,Síntesis metodológica,Indicadores cuantitativos del flujo,12_resumen_cuantitativo_metodologia.png,01_perfil_dataset_y_dimensiones.xlsx; 02_diagnostico_multicolinealidad.xlsx; 03_dataset_reducido_por_seleccion.xlsx; 04_dataset_pca_componentes.xlsx,resúmenes metodológicos,"predictores, pares correlacionados, variables seleccionadas, componentes PCA",Presentar en una sola figura los principales tamaños y resultados intermedios del análisis dimensional.,"El proceso parte de 271 predictores, identifica 60 pares altamente correlacionados, conserva 264 variables por selección y representa la información mediante 130 componentes PCA.",La figura permite explicar el tránsito desde el dataset original hacia dos estrategias alternativas de reducción.,"Las barras representan conceptos diferentes; se comparan como conteos metodológicos, no como métricas de desempeño.",generada
